arxiv_id	first_error	class
0909.3444	\GenericError Package babel Error: You haven't defined the language 'frenchb' yet.	article.cls
1008.2152	\regex_const:Nn The token T_CS[\regex_const:Nn] is not defined. Defining it now as <ltx:ERROR/>	article.cls
1012.3836	\section The token T_CS[\section] is not defined. Defining it now as <ltx:ERROR/>	?
1107.0347	\regex_const:Nn The token T_CS[\regex_const:Nn] is not defined. Defining it now as <ltx:ERROR/>	article.cls
1207.6068	\shipout The token T_CS[\shipout] is not defined. Defining it now as <ltx:ERROR/>	revtex4-1.cls
1211.4952	\GenericError Package babel Error: You haven't defined the language 'activeacute' yet.	article.cls
1212.4860	} Attempt to close a group that switched to mode vertical; current frame is mode-switch to vertical 	article.cls
1304.0737	\@nil The token T_CS[\@nil] is not defined. Defining it now as <ltx:ERROR/>	amsart.cls
1305.6480	\NC@list The token T_CS[\NC@list] is not defined. Defining it now as <ltx:ERROR/>	revtex4.cls
1308.6663	\ifCLASSINFOpdf The token T_CS[\ifCLASSINFOpdf] is not defined. Defining it now as with \newif	OmniBus.cls
1310.6527	\shipout The token T_CS[\shipout] is not defined. Defining it now as <ltx:ERROR/>	elsarticle.cls
1311.6357	\lx@end@gen@cases Attempt to close boxing group; current frame is non-boxing group due to T_CS[\begi	aa.cls
1311.7348	} A closing } was supposed to be here	revtex4-1.cls
1312.7418	\bullets The token T_CS[\bullets] is not defined. Defining it now as <ltx:ERROR/>	article.cls
1404.1853	\regex_const:Nn The token T_CS[\regex_const:Nn] is not defined. Defining it now as <ltx:ERROR/>	article.cls
1401.0971	(empty/abort)	eptcs.cls
1406.1495	\regex_const:Nn The token T_CS[\regex_const:Nn] is not defined. Defining it now as <ltx:ERROR/>	revtex4-1.cls
1407.4764	\newmarks The token T_CS[\newmarks] is not defined. Defining it now as <ltx:ERROR/>	IEEEtran.cls
1410.5293	\@nil The token T_CS[\@nil] is not defined. Defining it now as <ltx:ERROR/>	article.cls
1407.5769	(empty/abort)	revtex4-1.cls
1504.01713	\hbox Attempt to end mode `restricted_horizontal` in `restricted_horizontal`	article.cls
1508.02945	\IfPackageLoadedTF The token T_CS[\IfPackageLoadedTF] is not defined. Defining it now as <ltx:ERROR/	revtex4-1.cls
1507.08764	ltx:XMTok "ltx:XMTok" isn't allowed in <ltx:text>	revtex4-1.cls
1510.06919	\regex_const:Nn The token T_CS[\regex_const:Nn] is not defined. Defining it now as <ltx:ERROR/>	revtex4-1.cls
1602.02322	\regex_const:Nn The token T_CS[\regex_const:Nn] is not defined. Defining it now as <ltx:ERROR/>	revtex4-1.cls
1601.06002	\lx@end@gen@cases Attempt to close boxing group; current frame is non-boxing group due to T_CS[\begi	aa.cls
1602.03151	} Attempt to close a group that switched to mode math; current frame is mode-switch to math due to T	aa.cls
1603.08690	double-superscript Double superscript	article.cls
1605.06046	\regex_const:Nn The token T_CS[\regex_const:Nn] is not defined. Defining it now as <ltx:ERROR/>	svjour3.cls
1605.00224	} A closing } was supposed to be here	revtex4-1.cls
1605.07931	} A closing } was supposed to be here	revtex4-1.cls
1605.08657	\lx@pic@put Attempt to end mode `restricted_horizontal` in `restricted_horizontal`	article.cls
1607.06257	\section The token T_CS[\section] is not defined. Defining it now as <ltx:ERROR/>	?
1607.03390	} A closing } was supposed to be here	IEEEtran.cls
1608.00356	\@nil The token T_CS[\@nil] is not defined. Defining it now as <ltx:ERROR/>	amsart.cls
1608.02970	} Attempt to close a group that switched to mode vertical; current frame is mode-switch to vertical 	article.cls
1608.04650	ltx:Proof "ltx:Proof" isn't allowed in <ltx:section>	article.cls
1611.00859	\@inpenc@test The token T_CS[\@inpenc@test] is not defined. Defining it now as <ltx:ERROR/>	aa9.cls
1612.08904	<box> A <box> was supposed to be here.	article.cls
1701.08750	ltx:XMTok "ltx:XMTok" isn't allowed in <ltx:text>	article.cls
1702.02851	ltx:XMTok "ltx:XMTok" isn't allowed in <ltx:text>	revtex4-1.cls
1702.08652	} A closing } was supposed to be here	article.cls
1704.07415	\pics The token T_CS[\pics] is not defined. Defining it now as <ltx:ERROR/>	article.cls
1704.05389	\frenchbsetup The token T_CS[\frenchbsetup] is not defined. Defining it now as <ltx:ERROR/>	amsart.cls
